Graph2
Time (Seconds),Data (Meters),Data0 (Meters)
852.450012,-1.964129,-0.499470
852.500000,-1.961287,-0.495369
852.549927,-1.958266,-0.491375
852.599976,-1.955089,-0.487494
852.649963,-1.951748,-0.483799
852.699951,-1.948255,-0.480231
852.750000,-1.944548,-0.476815
852.799988,-1.940723,-0.473644
852.849976,-1.936749,-0.470599
852.899963,-1.932634,-0.467735
852.949951,-1.928452,-0.465024
853.000000,-1.924113,-0.462555
853.049988,-1.919636,-0.460284
853.099976,-1.915113,-0.458262
853.150024,-1.910386,-0.456451
853.200012,-1.905707,-0.454872
853.250000,-1.900871,-0.453496
853.299988,-1.896002,-0.452361
853.349976,-1.891101,-0.451481
853.400024,-1.886097,-0.450838
853.450012,-1.881136,-0.450446
853.500000,-1.876114,-0.450300
853.550049,-1.871130,-0.450404
853.599976,-1.866129,-0.450759
853.649963,-1.861194,-0.451366
853.699951,-1.856216,-0.452236
853.749939,-1.851366,-0.453327
853.799988,-1.846539,-0.454664
853.849976,-1.841791,-0.456211
853.899963,-1.837119,-0.458033
853.950012,-1.832585,-0.460046
854.000000,-1.828104,-0.462286
854.049988,-1.823768,-0.464785
854.099976,-1.819546,-0.467506
854.149963,-1.815392,-0.470284
854.200012,-1.811460,-0.473337
854.250000,-1.807691,-0.476648
854.299988,-1.804001,-0.480257
854.350037,-1.800736,-0.483746
854.400024,-1.797352,-0.487536
854.450012,-1.794307,-0.491436
854.500000,-1.791420,-0.495544
854.549927,-1.788762,-0.499763
854.599976,-1.786280,-0.504131
854.649963,-1.784003,-0.508562
854.699951,-1.781958,-0.513128
854.750000,-1.780107,-0.517722
854.799988,-1.778468,-0.522506
854.849976,-1.777086,-0.527263
854.899963,-1.775884,-0.532132
854.949951,-1.774914,-0.537047
855.000000,-1.774171,-0.542013
855.049988,-1.773632,-0.546977
855.099976,-1.773302,-0.551964
855.150024,-1.773188,-0.556945
855.200012,-1.773289,-0.561957
855.250000,-1.773591,-0.566931
855.299988,-1.774090,-0.571914
855.349976,-1.774792,-0.576863
855.400024,-1.775692,-0.581779
855.450012,-1.776784,-0.586679
855.500000,-1.778050,-0.591515
855.550049,-1.779491,-0.596295
855.599976,-1.781124,-0.601013
855.649963,-1.782898,-0.605659
855.699951,-1.784874,-0.610289
855.749939,-1.787037,-0.614794
855.799988,-1.789347,-0.619277
855.849976,-1.791723,-0.623621
855.899963,-1.794290,-0.627948
855.950012,-1.796946,-0.632128
856.000000,-1.799769,-0.636295
856.049988,-1.802701,-0.640323
856.099976,-1.805757,-0.644294
856.149963,-1.808920,-0.648172
856.200012,-1.812191,-0.651956
856.250000,-1.815644,-0.655620
856.299988,-1.819093,-0.659169
856.350037,-1.822669,-0.662706
856.400024,-1.826266,-0.666109
856.450012,-1.830000,-0.669494
856.500000,-1.833772,-0.672752
856.549927,-1.837634,-0.675948
856.599976,-1.841480,-0.679221
856.649963,-1.845451,-0.682195
856.699951,-1.849509,-0.685140
856.750000,-1.853563,-0.688028
856.799988,-1.857687,-0.690866
856.849976,-1.861839,-0.693635
856.899963,-1.866042,-0.696346
856.949951,-1.870289,-0.698993
857.000000,-1.874550,-0.701599
857.049988,-1.878845,-0.704169
857.099976,-1.883164,-0.706683
857.150024,-1.887505,-0.709161
857.200012,-1.891865,-0.711604
857.250000,-1.896250,-0.714017
857.299988,-1.900643,-0.716398
857.349976,-1.905048,-0.718764
857.400024,-1.909461,-0.721111
857.450012,-1.913884,-0.723445
857.500000,-1.918309,-0.725770
857.550049,-1.922737,-0.728095
857.599976,-1.927163,-0.730421
857.649963,-1.931587,-0.732753
857.699951,-1.936006,-0.735095
857.749939,-1.940415,-0.737452
857.799988,-1.944813,-0.739827
857.849976,-1.949203,-0.742230
857.899963,-1.953570,-0.744658
857.950012,-1.957923,-0.747119
858.000000,-1.962259,-0.749628
858.049988,-1.966556,-0.752167
858.099976,-1.970840,-0.754759
858.149963,-1.975079,-0.757389
858.200012,-1.979317,-0.760078
858.250000,-1.983478,-0.762809
858.299988,-1.987624,-0.765628
858.350037,-1.991708,-0.768486
858.400024,-1.995767,-0.771444
858.450012,-1.999738,-0.774402
858.500000,-2.003681,-0.777554
858.549927,-2.007543,-0.780685
858.599976,-2.011367,-0.783952
858.649963,-2.015097,-0.787244
858.699951,-2.018765,-0.790649
858.750000,-2.022366,-0.794142
858.799988,-2.025866,-0.797703
858.849976,-2.029283,-0.801349
858.899963,-2.032597,-0.805123
858.949951,-2.035790,-0.808943
859.000000,-2.038907,-0.812876
859.049988,-2.041890,-0.816863
859.099976,-2.044777,-0.820978
859.150024,-2.047512,-0.825136
859.200012,-2.050116,-0.829416
859.250000,-2.052574,-0.833775
859.299988,-2.054901,-0.838223
859.349976,-2.057078,-0.842703
859.400024,-2.059108,-0.847264
859.450012,-2.060987,-0.851904
859.500000,-2.062692,-0.856608
859.550049,-2.064218,-0.861381
859.599976,-2.065556,-0.866182
859.649963,-2.066716,-0.871041
859.699951,-2.067686,-0.875965
859.749939,-2.068471,-0.880889
859.799988,-2.069039,-0.885850
859.849976,-2.069420,-0.890823
859.899963,-2.069603,-0.895831
859.950012,-2.069579,-0.900828
860.000000,-2.069345,-0.905836
860.049988,-2.068892,-0.910814
860.099976,-2.068250,-0.915803
860.149963,-2.067377,-0.920661
860.200012,-2.066270,-0.925609
860.250000,-2.064983,-0.930403
860.299988,-2.063445,-0.935185
860.350037,-2.061719,-0.939872
860.400024,-2.059800,-0.944438
860.450012,-2.057604,-0.949008
860.500000,-2.055262,-0.953353
860.549927,-2.052656,-0.957692
860.599976,-2.049825,-0.961845
860.649963,-2.046842,-0.965880
860.699951,-2.043694,-0.969703
860.750000,-2.040276,-0.973421
860.799988,-2.036831,-0.977025
860.849976,-2.033108,-0.980386
