Graph1,,
Time (Seconds),vRef (User unit),vMes (User unit)
24.4,0.3,0.298991
24.449999,0.3,0.299911
24.5,0.3,0.300337
24.549999,0.3,0.301043
24.599998,0.3,0.298801
24.65,0.3,0.300343
24.699999,0.3,0.300034
24.75,0.3,0.300393
24.799999,0.3,0.300969
24.849998,0.3,0.299121
24.9,0.3,0.300849
24.949999,0.3,0.298976
25,0.3,0.30076
25.049999,0.3,0.299442
25.099998,0.3,0.300251
25.15,0.3,0.299502
25.199999,0.3,0.300373
25.25,0.1,0.299213
25.299999,0.1,0.113829
25.349998,0.1,0.134423
25.4,0.1,0.100899
25.449999,0.1,0.11542
25.5,0.1,0.097583
25.549999,0.1,0.106599
25.599998,0.1,0.097691
25.65,0.1,0.103405
25.699999,0.1,0.0981
25.75,0.1,0.101897
25.799999,0.1,0.09888
25.849998,0.1,0.101765
25.9,0.1,0.098214
25.949999,0.1,0.101592
26,0.1,0.098279
26.049999,0.1,0.101053
26.099998,0.1,0.099113
26.15,0.1,0.101069
26.199999,0.1,0.099617
26.25,0.1,0.100223
26.299999,0.1,0.100349
26.349998,0.1,0.099968
26.4,0.1,0.100348
26.449999,0.1,0.099269
26.5,0.1,0.100808
26.549999,0.1,0.099424
26.599998,0.1,0.100732
26.65,0.1,0.099126
26.699999,0.1,0.100043
26.75,0.1,0.100558
26.799999,0.1,0.097286
26.849998,0.1,0.103038
26.9,0.1,0.097358
26.949999,0.1,0.102445
27,0.1,0.098965
27.049999,0.1,0.100627
27.099998,0.1,0.099913
27.15,0.1,0.099706
27.199999,0.1,0.100158
27.25,0.1,0.100167
27.299999,0.1,0.099493
27.349998,0.1,0.100954
27.4,0.1,0.098585
27.449999,0.1,0.101324
27.5,0.1,0.099252
27.549999,0.1,0.100449
27.599998,0.1,0.100356
27.65,0.1,0.100318
27.699999,0.1,0.098946
27.75,0.1,0.101964
27.799999,0.1,0.097249
27.849998,0.1,0.101216
27.9,0.1,0.098221
27.949999,0.1,0.100956
28,0.1,0.099588
28.049999,0.1,0.100099
28.099998,0.1,0.099427
28.15,0.1,0.10017
28.199999,0.1,0.100824
28.25,0.1,0.099532
28.299999,0.1,0.100506
28.349998,0.1,0.09965
28.4,0.1,0.100587
28.449999,0.1,0.100147
28.5,0.1,0.099546
28.549999,0.1,0.100162
28.599998,0.1,0.10021
28.65,0.1,0.099363
28.699999,0.1,0.100405
28.75,0.1,0.099632
28.799999,0.1,0.100473
28.849998,0.1,0.099614
28.9,0.1,0.100955
28.949999,0.1,0.099781
29,0.1,0.099567
29.049999,0.1,0.100455
29.099998,0.1,0.099996
29.15,0.1,0.100081
29.199999,0.1,0.099595
29.25,0.1,0.101039
29.299999,0.1,0.098759
29.349998,0.1,0.101203
29.4,0.1,0.098376
29.449999,0.1,0.100848
29.5,0.1,0.100282
29.549999,0.1,0.100977
29.599998,0.1,0.098782
29.65,0.1,0.100484
29.699999,0.1,0.099247
29.75,0.1,0.100331
29.799999,0.1,0.099179
29.849998,0.1,0.101063
29.9,0.1,0.099381
29.949999,0.1,0.100336
30,0.1,0.09926
30.049999,0.1,0.100966
30.099998,0.1,0.099265
30.15,0.1,0.100577
30.199999,0.1,0.099845
30.25,0.1,0.100642
30.299999,0.3,0.099098
30.349998,0.3,0.285007
30.4,0.3,0.267282
30.449999,0.3,0.29721
30.5,0.3,0.287235
30.549999,0.3,0.300823
30.599998,0.3,0.29434
30.65,0.3,0.301154
30.699999,0.3,0.297387
30.75,0.3,0.301825
30.799999,0.3,0.298575
30.849998,0.3,0.300111
30.9,0.3,0.299438
30.949999,0.3,0.300198
31,0.3,0.299323
31.049999,0.3,0.299925
31.099998,0.3,0.30011
31.15,0.3,0.300094
31.199999,0.3,0.300843
31.25,0.3,0.299123
31.299999,0.3,0.29996
31.349998,0.3,0.300288
31.4,0.3,0.299585
31.449999,0.3,0.300331
31.5,0.3,0.3001
31.549999,0.3,0.299955
31.599998,0.3,0.300932
31.65,0.3,0.298912
31.699999,0.3,0.300943
31.75,0.3,0.299695
31.799999,0.3,0.300165
31.849998,0.3,0.299189
31.9,0.3,0.300561
31.949999,0.3,0.299183
32,0.3,0.300846
32.049999,0.3,0.29989
32.099998,0.3,0.299224
32.149998,0.3,0.301015
32.200001,0.3,0.299596
32.25,0.3,0.300069
32.299999,0.3,0.300248
32.349998,0.3,0.299923
32.399998,0.3,0.300431
32.450001,0.3,0.300126
32.5,0.3,0.299617
32.549999,0.3,0.299983
32.599998,0.3,0.299856
32.649998,0.3,0.300216
32.700001,0.3,0.299482
32.75,0.3,0.300277
32.799999,0.3,0.300198
32.849998,0.3,0.300012
32.899998,0.3,0.300652
32.950001,0.3,0.300222
33,0.3,0.299666
33.049999,0.3,0.299882
33.099998,0.3,0.299248
33.149998,0.3,0.300228
33.200001,0.3,0.29987
33.25,0.3,0.300567
33.299999,0.3,0.300519
33.349998,0.3,0.299274
33.399998,0.3,0.300337
33.450001,0.3,0.299668
33.5,0.3,0.300297
33.549999,0.3,0.299559
33.599998,0.3,0.299519
33.649998,0.3,0.300428
33.700001,0.3,0.300538
33.75,0.3,0.299388
33.799999,0.3,0.299732
33.849998,0.3,0.300578
33.899998,0.3,0.299369
33.950001,0.3,0.298892
34,0.3,0.301087
34.049999,0.3,0.299751
34.099998,0.3,0.30054
34.149998,0.3,0.300005
34.200001,0.3,0.300784
34.25,0.3,0.299391
34.299999,0.3,0.298676
34.349998,0.3,0.301882
34.399998,0.3,0.299058
34.450001,0.3,0.300931
34.5,0.3,0.299075
34.549999,0.3,0.301282
34.599998,0.3,0.298857
34.649998,0.3,0.300967
34.700001,0.3,0.299124
34.75,0.3,0.300055
34.799999,0.3,0.300178
34.849998,0.3,0.30048
34.899998,0.3,0.29953
34.950001,0.3,0.300409
35,0.3,0.2994
35.049999,0.3,0.300509
35.099998,0.3,0.299807
35.149998,0.3,0.300485
35.200001,0.3,0.29994
35.25,0.3,0.299446
35.299999,0.3,0.300497
35.349998,0.1,0.299795
35.399998,0.1,0.111336
35.450001,0.1,0.135215
35.5,0.1,0.101756
35.549999,0.1,0.11551
35.599998,0.1,0.100402
35.649998,0.1,0.104046
35.700001,0.1,0.099121
35.75,0.1,0.101173
35.799999,0.1,0.099684
35.849998,0.1,0.099722
35.899998,0.1,0.101217
35.950001,0.1,0.099516
36,0.1,0.100176
36.049999,0.1,0.100382
36.099998,0.1,0.099814
36.149998,0.1,0.100208
36.200001,0.1,0.099478
36.25,0.1,0.100746
36.299999,0.1,0.100124
36.349998,0.1,0.099479
36.399998,0.1,0.100982
36.450001,0.1,0.099061
36.5,0.1,0.100247
36.549999,0.1,0.099567
36.599998,0.1,0.100535
36.649998,0.1,0.09984
36.700001,0.1,0.099327
36.75,0.1,0.100459
36.799999,0.1,0.099206
36.849998,0.1,0.101345
36.899998,0.1,0.099604
36.950001,0.1,0.099934
37,0.1,0.100075
37.049999,0.1,0.09974
37.099998,0.1,0.099552
37.149998,0.1,0.100629
37.200001,0.1,0.098839
37.25,0.1,0.101257
37.299999,0.1,0.099278
37.349998,0.1,0.10107
37.399998,0.1,0.099461
37.450001,0.1,0.100626
37.5,0.1,0.098979
37.549999,0.1,0.101488
37.599998,0.1,0.098798
37.649998,0.1,0.10123
37.700001,0.1,0.09843
37.75,0.1,0.100836
37.799999,0.1,0.099547
37.849998,0.1,0.10001
37.899998,0.1,0.100078
37.950001,0.1,0.099922
38,0.1,0.100187
38.049999,0.1,0.099767
38.099998,0.1,0.100309
38.149998,0.1,0.099702
38.200001,0.1,0.099769
38.25,0.1,0.100467
38.299999,0.1,0.099514
38.349998,0.1,0.100825
38.399998,0.1,0.098582
38.450001,0.1,0.102588
38.5,0.1,0.097574
38.549999,0.1,0.101938
38.599998,0.1,0.098967
38.649998,0.1,0.100302
38.700001,0.1,0.099376
38.75,0.1,0.100196
38.799999,0.1,0.09916
38.849998,0.1,0.101167
38.899998,0.1,0.09891
38.950001,0.1,0.101176
39,0.1,0.098111
39.049999,0.1,0.102388
39.099998,0.1,0.09863
39.149998,0.1,0.101049
39.200001,0.1,0.099135
39.25,0.1,0.100638
39.299999,0.1,0.100202
39.349998,0.1,0.099969
39.399998,0.1,0.099363
39.450001,0.1,0.100895
39.5,0.1,0.099115
39.549999,0.1,0.100244
39.599998,0.1,0.099618
39.649998,0.1,0.099877
39.700001,0.1,0.100266
39.75,0.1,0.100067
39.799999,0.1,0.100131
39.849998,0.1,0.100079
39.899998,0.1,0.099716
39.950001,0.1,0.099987
40,0.1,0.099964
40.049999,0.1,0.099846
40.099998,0.1,0.10025
40.149998,0.1,0.09994
40.200001,0.1,0.099128
40.25,0.1,0.101154
40.299999,0.1,0.099188
40.349998,0.1,0.101201
40.399998,0.3,0.099394
40.450001,0.3,0.299713
40.5,0.3,0.253347
40.549999,0.3,0.302541
40.599998,0.3,0.279905
40.649998,0.3,0.304221
40.700001,0.3,0.291171
40.75,0.3,0.303472
40.799999,0.3,0.296175
40.849998,0.3,0.30133
40.899998,0.3,0.299107
40.950001,0.3,0.300828
41,0.3,0.298135
41.049999,0.3,0.301278
41.099998,0.3,0.298999
41.149998,0.3,0.300503
41.200001,0.3,0.29927
41.25,0.3,0.300347
41.299999,0.3,0.300001
41.349998,0.3,0.300709
41.399998,0.3,0.299151
41.450001,0.3,0.300379
41.5,0.3,0.299545
41.549999,0.3,0.299404
41.599998,0.3,0.301181
41.649998,0.3,0.299215
41.700001,0.3,0.300555
41.75,0.3,0.299214
41.799999,0.3,0.300621
41.849998,0.3,0.300046
41.899998,0.3,0.301033
41.950001,0.3,0.298489
42,0.3,0.301503
42.049999,0.3,0.298732
42.099998,0.3,0.300252
42.149998,0.3,0.299531
42.200001,0.3,0.300266
42.25,0.3,0.300147
42.299999,0.3,0.299356
42.349998,0.3,0.300055
42.399998,0.3,0.300113
42.450001,0.3,0.300631
42.5,0.3,0.299568
42.549999,0.3,0.299878
42.599998,0.3,0.300592
42.649998,0.3,0.299602
42.700001,0.3,0.299968
42.75,0.3,0.299999
42.799999,0.3,0.300374
42.849998,0.3,0.299098
42.899998,0.3,0.301481
42.950001,0.3,0.298986
43,0.3,0.300737
43.049999,0.3,0.299383
43.099998,0.3,0.300552
43.149998,0.3,0.299033
43.200001,0.3,0.300689
43.25,0.3,0.29994
43.299999,0.3,0.300056
43.349998,0.3,0.299389
43.399998,0.3,0.300626
43.450001,0.3,0.300233
43.5,0.3,0.29914
43.549999,0.3,0.301427
43.599998,0.3,0.297973
43.649998,0.3,0.301505
43.700001,0.3,0.299693
43.75,0.3,0.299931
43.799999,0.3,0.298955
43.849998,0.3,0.300867
43.899998,0.3,0.299322
43.950001,0.3,0.300931
44,0.3,0.299563
44.049999,0.3,0.300539
44.099998,0.3,0.299713
44.149998,0.3,0.300018
44.200001,0.3,0.3004
44.25,0.3,0.299529
44.299999,0.3,0.299987
44.349998,0.3,0.301068
44.399998,0.3,0.29933
44.450001,0.3,0.300204
44.5,0.3,0.299937
44.549999,0.3,0.300525
44.599998,0.3,0.299789
44.649998,0.3,0.298938
44.700001,0.3,0.299543
44.75,0.3,0.30076
44.799999,0.3,0.299976
44.849998,0.3,0.299929
44.899998,0.3,0.300039
44.950001,0.3,0.300838
45,0.3,0.299401
45.049999,0.3,0.300694
45.099998,0.3,0.298891
45.149998,0.3,0.299749
45.200001,0.3,0.300551
45.25,0.3,0.299379
45.299999,0.3,0.299921
45.349998,0.3,0.301205
45.399998,0.3,0.298707
45.450001,0.1,0.300722
45.5,0.1,0.113568
45.549999,0.1,0.133065
45.599998,0.1,0.102797
45.649998,0.1,0.114556
45.700001,0.1,0.097838
45.75,0.1,0.106774
45.799999,0.1,0.098048
45.849998,0.1,0.103076
45.899998,0.1,0.098229
45.950001,0.1,0.10227
46,0.1,0.098443
46.049999,0.1,0.101926
46.099998,0.1,0.099227
46.149998,0.1,0.100678
46.200001,0.1,0.099325
46.25,0.1,0.100233
46.299999,0.1,0.099596
46.349998,0.1,0.100932
46.399998,0.1,0.099136
46.450001,0.1,0.099685
46.5,0.1,0.100161
46.549999,0.1,0.100077
46.599998,0.1,0.101056
46.649998,0.1,0.098336
46.700001,0.1,0.100946
46.75,0.1,0.099931
46.799999,0.1,0.099735
46.849998,0.1,0.099562
46.899998,0.1,0.099516
46.950001,0.1,0.100919
47,0.1,0.098786
47.049999,0.1,0.101298
47.099998,0.1,0.099931
47.149998,0.1,0.100087
47.200001,0.1,0.100536
47.25,0.1,0.09978
47.299999,0.1,0.099738
47.349998,0.1,0.100323
47.399998,0.1,0.099802
47.450001,0.1,0.099865
47.5,0.1,0.100161
47.549999,0.1,0.099583
47.599998,0.1,0.100947
47.649998,0.1,0.09917
47.700001,0.1,0.100211
47.75,0.1,0.100067
47.799999,0.1,0.099885
47.849998,0.1,0.099724
47.899998,0.1,0.100581
47.950001,0.1,0.099754
48,0.1,0.100124
48.049999,0.1,0.099657
48.099998,0.1,0.100631
48.149998,0.1,0.099989
48.200001,0.1,0.099745
48.25,0.1,0.099813
48.299999,0.1,0.099744
48.349998,0.1,0.100015
48.399998,0.1,0.100421
48.450001,0.1,0.099302
48.5,0.1,0.100946
48.549999,0.1,0.099229
48.599998,0.1,0.100314
48.649998,0.1,0.099854
48.700001,0.1,0.100254
48.75,0.1,0.099385
48.799999,0.1,0.100431
48.849998,0.1,0.099908
48.899998,0.1,0.100098
48.950001,0.1,0.100002
49,0.1,0.099943
49.049999,0.1,0.099847
49.099998,0.1,0.100611
49.149998,0.1,0.099796
49.200001,0.1,0.099936
49.25,0.1,0.099718
49.299999,0.1,0.100861
49.349998,0.1,0.099753
49.399998,0.1,0.099346
49.450001,0.1,0.10157
49.5,0.1,0.0981
49.549999,0.1,0.101366
49.599998,0.1,0.098188
49.649998,0.1,0.101172
49.700001,0.1,0.099154
49.75,0.1,0.100465
49.799999,0.1,0.099788
49.849998,0.1,0.097569
49.899998,0.1,0.10194
49.950001,0.1,0.099214
50,0.1,0.100891
50.049999,0.1,0.099614
50.099998,0.1,0.101922
50.149998,0.1,0.099189
50.200001,0.1,0.100061
50.25,0.1,0.099388
50.299999,0.1,0.10031
50.349998,0.1,0.099504
50.399998,0.1,0.10149
50.450001,0.1,0.099028
50.5,0.3,0.10013
50.549999,0.3,0.282883
50.599998,0.3,0.270132
50.649998,0.3,0.295436
50.700001,0.3,0.289177
50.75,0.3,0.299962
50.799999,0.3,0.294627
50.849998,0.3,0.301594
50.899998,0.3,0.297126
50.950001,0.3,0.300958
51,0.3,0.298824
51.049999,0.3,0.299699
51.099998,0.3,0.300049
51.149998,0.3,0.300104
51.200001,0.3,0.300267
51.25,0.3,0.300232
51.299999,0.3,0.300052
51.349998,0.3,0.299696
51.399998,0.3,0.300344
51.450001,0.3,0.299583
51.5,0.3,0.300141
51.549999,0.3,0.299066
51.599998,0.3,0.300444
51.649998,0.3,0.299082
51.700001,0.3,0.30103
51.75,0.3,0.299397
51.799999,0.3,0.299872
51.849998,0.3,0.299545
51.899998,0.3,0.301468
51.950001,0.3,0.299772
52,0.3,0.300423
52.049999,0.3,0.299635
52.099998,0.3,0.300494
52.149998,0.3,0.299745
52.200001,0.3,0.299313
52.25,0.3,0.300888
52.299999,0.3,0.298817
52.349998,0.3,0.300855
52.399998,0.3,0.299192
52.450001,0.3,0.301205
52.5,0.3,0.298948
52.549999,0.3,0.30076
52.599998,0.3,0.299525
52.649998,0.3,0.299963
52.700001,0.3,0.29976
52.75,0.3,0.30039
52.799999,0.3,0.299695
52.849998,0.3,0.300767
52.899998,0.3,0.29943
52.950001,0.3,0.300382
53,0.3,0.300282
53.049999,0.3,0.299785
53.099998,0.3,0.299811
53.149998,0.3,0.297956
53.200001,0.3,0.301702
53.25,0.3,0.299791
53.299999,0.3,0.300755
53.349998,0.3,0.29924
53.399998,0.3,0.301096
53.450001,0.3,0.29885
53.5,0.3,0.301092
53.549999,0.3,0.299379
53.599998,0.3,0.300254
53.649998,0.3,0.299963
53.700001,0.3,0.300599
53.75,0.3,0.299201
53.799999,0.3,0.300741
53.849998,0.3,0.299433
53.899998,0.3,0.299507
53.950001,0.3,0.30005
54,0.3,0.300202
54.049999,0.3,0.300334
54.099998,0.3,0.299736
54.149998,0.3,0.300601
54.200001,0.3,0.298866
54.25,0.3,0.300823
54.299999,0.3,0.298528
54.349998,0.3,0.301103
54.399998,0.3,0.299895
54.450001,0.3,0.300322
54.5,0.3,0.299545
54.549999,0.3,0.301362
54.599998,0.3,0.298665
54.649998,0.3,0.300611
54.700001,0.3,0.299802
54.75,0.3,0.299222
54.799999,0.3,0.300915
54.849998,0.3,0.299241
54.899998,0.3,0.300946
54.950001,0.3,0.29896
